Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
Saudi Arabia,149.6,131.5,63.3,60.2,47.9,2.8,34.0,71.7,41.0,2018
Lithuania,149.0,57.3,62.4,66.8,53.2,13.0,28.7,33.1,68.8,2018
Poland,146.6,74.4,63.8,62.1,45.2,9.8,33.6,51.1,75.8,2018
Italy,146.1,81.1,55.5,68.0,79.1,9.9,37.0,53.1,91.4,2018
Romania,144.0,66.2,71.0,54.6,39.7,9.1,33.4,53.0,76.2,2018
South Africa,137.9,99.8,24.3,63.0,48.1,3.5,43.3,62.2,96.0,2018
Greece,137.4,53.8,60.9,54.2,63.2,9.5,32.2,52.8,92.6,2018
Hungary,132.3,50.6,63.5,51.1,48.6,13.3,34.1,46.6,78.5,2018
Argentina,131.8,60.2,38.2,71.3,53.7,10.7,41.6,53.6,98.2,2018
Bulgaria,129.7,54.4,60.3,52.1,41.2,8.6,31.1,63.0,81.6,2018
Bosnia And Herzegovina,129.3,52.4,59.9,55.9,39.3,11.6,27.5,61.6,78.9,2018
Turkey,127.6,53.8,58.9,70.4,41.8,8.9,46.3,69.4,93.2,2018
Mexico,126.4,58.2,48.9,68.6,33.6,7.8,42.0,66.1,82.5,2018
Serbia,123.5,41.8,62.2,53.4,39.6,17.2,28.9,56.6,82.9,2018
Chile,122.7,54.5,53.5,61.9,55.2,13.1,35.1,66.8,90.2,2018
India,122.1,79.3,55.8,67.4,26.9,9.7,46.8,75.9,65.7,2018
Malaysia,116.0,73.0,36.9,65.6,44.7,9.6,37.6,66.5,58.1,2018
Indonesia,112.9,37.5,55.3,66.0,39.7,13.1,42.7,60.7,68.2,2018
Colombia,112.1,38.6,49.3,67.8,35.3,18.1,48.1,62.5,96.7,2018
Hong Kong,110.3,82.9,79.1,63.8,78.7,41.1,41.3,69.4,83.6,2018
Russia,103.3,51.1,54.8,56.8,43.9,11.4,48.3,63.3,44.7,2018
Thailand,101.2,38.6,52.7,80.9,48.9,22.8,39.2,72.9,68.6,2018
Pakistan,100.3,41.1,48.8,57.5,25.1,12.5,41.6,77.5,71.9,2018
Brazil,100.1,41.6,29.4,52.7,51.3,16.3,45.3,59.5,94.2,2018
China,99.4,72.3,60.6,62.9,44.6,28.2,42.5,85.9,78.8,2018
Philippines,99.1,34.0,59.9,68.2,36.0,17.8,44.2,72.5,60.6,2018
Ukraine,96.0,30.2,50.6,50.1,26.0,18.2,38.5,67.2,70.2,2018
Iran,92.4,45.6,50.6,51.2,34.6,12.5,49.5,81.2,69.5,2018
Egypt,84.4,24.7,46.3,44.4,25.7,12.7,46.7,87.6,92.0,2018
Denmark,198.6,114.4,75.8,79.4,81.4,6.9,28.5,22.1,81.8,2019
Switzerland,195.9,129.7,78.5,72.7,121.2,9.6,29.1,22.0,80.0,2019
Finland,194.0,112.3,77.2,73.5,72.8,8.0,30.4,11.9,58.6,2019
Australia,191.1,122.9,57.2,76.4,72.1,7.6,35.3,24.0,93.8,2019
Austria,191.1,96.7,78.6,79.2,71.8,10.1,25.2,22.0,77.7,2019
Netherlands,188.9,102.5,71.4,77.8,74.8,7.4,29.9,27.4,87.5,2019
Germany,187.0,116.2,65.5,74.3,67.6,9.0,29.9,28.0,82.5,2019
New Zealand,185.6,101.1,60.4,73.6,72.6,8.3,31.2,22.7,95.5,2019
Norway,181.9,103.6,64.7,74.1,101.0,8.4,27.1,19.9,71.2,2019
Japan,180.5,103.1,86.3,80.4,83.3,11.2,40.0,37.1,84.8,2019
United States,179.2,122.0,52.9,69.4,69.9,3.6,32.9,33.9,77.5,2019
Sweden,178.7,111.4,50.7,71.0,71.6,10.3,30.3,18.0,74.9,2019
Slovenia,176.0,75.4,77.4,62.8,52.5,10.2,24.8,24.3,78.1,2019
Spain,174.2,83.8,67.5,77.8,54.7,9.2,29.4,39.4,94.2,2019
United Kingdom,170.8,105.7,57.3,74.7,65.3,9.2,34.6,39.4,87.8,2019
Canada,170.3,109.4,60.5,71.0,65.0,7.7,33.8,27.8,52.5,2019
United Arab Emirates,167.8,119.6,83.7,68.0,56.2,4.4,37.5,53.1,45.2,2019
Croatia,165.3,60.3,75.3,64.1,49.2,11.6,29.1,31.0,89.0,2019
Portugal,163.5,55.2,67.9,70.7,50.4,12.7,29.0,31.6,97.5,2019
Belgium,162.1,95.1,57.5,79.4,73.0,7.2,34.9,49.9,86.0,2019
Ireland,160.8,95.1,55.5,48.6,75.3,7.9,35.8,31.1,89.1,2019
Czech Republic,158.8,71.3,73.3,74.7,45.1,15.2,30.0,41.0,77.1,2019
France,157.8,91.6,53.6,78.6,74.9,12.9,35.3,42.7,88.3,2019
Singapore,156.9,103.8,78.5,70.3,69.8,21.6,42.1,32.3,57.5,2019
Lithuania,156.4,60.3,63.5,67.6,45.9,11.1,27.2,30.8,69.9,2019
Israel,153.8,92.5,67.8,73.4,74.3,14.0,36.3,57.3,93.8,2019
Saudi Arabia,152.7,118.6,70.3,59.1,47.6,2.9,29.6,67.3,41.4,2019
South Korea,149.5,103.4,66.0,84.5,76.9,17.6,40.0,54.2,68.4,2019
Poland,148.0,70.0,69.9,62.2,39.1,10.3,32.2,52.4,76.0,2019
Italy,145.7,77.5,55.0,67.1,69.2,10.0,34.7,53.8,91.2,2019
Romania,140.3,61.2,72.2,54.5,36.5,10.2,34.4,55.4,77.6,2019
Greece,137.8,49.6,61.4,55.2,56.7,9.8,32.2,51.9,94.2,2019
South Africa,135.3,83.0,23.2,62.6,42.5,4.1,40.3,56.9,96.0,2019
Hungary,134.5,54.7,64.8,48.2,42.0,12.6,35.2,46.5,78.7,2019
Bulgaria,130.6,52.2,60.0,54.0,37.2,8.7,28.8,64.0,82.8,2019
Turkey,125.5,45.3,59.6,69.4,35.2,9.3,44.8,69.2,93.3,2019
Bosnia And Herzegovina,124.5,49.2,56.2,53.2,35.7,12.3,26.4,63.5,80.5,2019
Chile,124.1,54.1,53.2,65.5,47.7,13.5,36.8,65.5,90.2,2019
Mexico,123.5,50.0,47.7,69.7,32.7,10.2,39.1,66.0,86.3,2019
Argentina,122.5,55.0,37.4,69.4,33.1,19.0,43.0,52.3,98.3,2019
Malaysia,122.1,73.1,39.2,67.6,39.4,9.8,35.3,63.7,60.1,2019
Serbia,119.8,39.9,62.7,52.6,35.4,18.6,29.7,58.9,83.2,2019
India,117.5,66.9,57.3,68.3,24.2,11.3,45.7,75.8,65.7,2019
Colombia,108.4,34.7,48.7,67.5,30.1,18.8,45.1,61.7,86.0,2019
Indonesia,107.2,33.0,54.0,62.0,36.2,13.8,42.9,62.8,69.0,2019
Russia,104.9,45.4,58.1,57.6,35.5,12.4,46.0,62.8,46.5,2019
Pakistan,104.6,38.6,53.3,60.6,20.4,14.1,38.6,75.9,73.0,2019
Thailand,103.3,40.9,53.3,79.1,47.5,21.9,39.4,72.2,69.4,2019
Ukraine,102.3,32.7,51.1,51.0,27.9,14.3,37.4,66.6,70.7,2019
Hong Kong,100.9,69.3,80.7,67.3,78.1,49.4,41.0,66.4,83.6,2019
Brazil,100.3,37.4,29.8,54.6,42.8,18.7,43.4,57.7,95.3,2019
China,97.9,69.0,54.5,64.0,39.2,29.1,42.5,81.9,78.9,2019
Philippines,90.7,29.5,59.2,65.9,35.1,21.8,44.1,74.5,60.2,2019
Iran,87.0,37.7,50.7,51.2,35.8,16.9,48.4,79.3,71.0,2019
Egypt,84.0,23.7,49.3,44.2,26.5,13.6,49.2,86.5,92.0,2019
Denmark,192.7,100.9,74.9,80.0,83.0,7.5,28.8,21.3,81.8,2020
Switzerland,192.0,119.5,78.4,72.4,122.4,8.7,29.1,22.4,79.2,2020
Finland,190.2,99.9,76.7,75.8,70.3,8.3,29.9,11.5,58.9,2020
Australia,186.2,107.3,58.6,77.4,73.5,7.5,34.7,23.5,92.7,2020
Netherlands,183.7,90.7,72.4,74.6,73.7,7.5,29.4,27.4,87.6,2020
Austria,182.5,82.4,76.3,78.7,70.4,10.9,26.3,22.2,77.3,2020
New Zealand,181.0,92.7,59.1,73.8,72.5,8.5,31.1,23.4,95.5,2020
Germany,179.8,102.4,65.2,73.3,65.3,9.4,31.0,29.0,83.0,2020
Sweden,175.9,101.7,52.9,69.2,69.8,9.3,30.5,18.1,74.0,2020
Norway,175.2,88.4,64.6,74.4,101.4,8.8,27.0,20.3,71.4,2020
Slovenia,172.2,66.3,78.9,64.6,53.4,10.5,27.3,24.1,77.6,2020
United States,172.1,109.5,52.8,69.3,71.1,3.5,32.9,36.9,77.5,2020
Spain,169.8,72.0,68.0,78.9,53.8,9.4,29.1,40.0,94.2,2020
Japan,168.0,87.3,79.3,81.1,83.3,13.0,39.2,39.6,84.8,2020
Canada,163.5,95.1,60.3,71.6,67.6,8.0,33.9,27.8,50.6,2020
Portugal,162.9,49.4,70.4,71.9,49.5,12.7,30.0,30.9,97.3,2020
United Kingdom,162.7,91.7,56.3,74.5,67.3,10.1,34.5,40.6,87.6,2020
Lithuania,159.4,57.8,66.9,69.5,44.3,10.9,26.1,28.8,67.8,2020
Croatia,159.0,50.4,75.3,62.7,49.7,13.7,29.1,30.5,89.0,2020
United Arab Emirates,156.7,91.6,84.3,67.0,62.0,5.3,36.8,51.2,45.2,2020
Czech Republic,156.2,62.8,74.5,74.6,46.1,15.4,29.7,40.2,77.1,2020
France,153.9,80.4,53.2,80.0,74.1,13.0,34.8,43.6,90.2,2020
Ireland,153.5,80.9,54.6,51.9,75.9,7.5,37.7,34.0,89.1,2020
Belgium,153.5,86.3,56.0,74.3,71.8,6.9,36.1,52.9,86.0,2020
Saudi Arabia,150.6,100.0,73.8,59.1,48.3,2.8,28.6,65.1,46.0,2020
Israel,149.9,78.1,70.4,73.3,81.2,12.8,35.9,57.2,93.8,2020
Singapore,144.4,89.0,69.4,70.8,81.1,22.3,41.3,33.5,57.5,2020
Poland,141.8,59.6,71.5,61.0,40.0,11.4,31.7,54.5,76.1,2020
Italy,140.8,65.6,55.7,66.6,67.3,9.7,34.4,55.6,92.3,2020
South Korea,139.0,85.2,72.0,82.0,78.2,17.4,39.6,62.5,68.4,2020
Greece,133.1,43.7,59.7,56.2,55.7,10.6,33.8,52.5,94.2,2020
Romania,132.4,48.9,72.4,55.1,35.3,11.3,34.7,58.4,77.6,2020
South Africa,132.0,73.6,22.5,64.1,42.9,3.9,39.4,57.3,95.3,2020
Bulgaria,129.8,49.4,61.5,55.4,36.7,8.5,29.4,65.3,82.8,2020
Hungary,128.2,47.6,64.9,47.8,40.9,14.8,35.8,48.3,79.5,2020
Turkey,127.1,40.8,60.5,69.8,34.7,7.8,44.6,67.4,93.3,2020
Bosnia And Herzegovina,121.9,41.8,57.0,52.3,36.0,12.6,26.7,62.3,80.5,2020
Chile,119.8,42.5,54.8,65.4,43.6,14.9,35.4,65.8,90.2,2020
Mexico,118.5,41.8,46.0,70.1,35.7,10.7,39.4,66.1,86.3,2020
Malaysia,118.4,64.5,41.2,68.1,39.1,9.9,37.0,63.2,57.9,2020
Serbia,116.3,36.7,62.6,51.3,35.7,18.9,30.4,60.3,83.2,2020
Argentina,115.3,47.2,38.2,69.3,33.0,24.5,43.1,50.7,98.3,2020
India,108.6,54.3,56.7,67.1,24.6,11.4,47.0,78.9,64.9,2020
Colombia,105.8,31.1,45.2,67.2,30.7,19.7,47.5,62.8,96.7,2020
Brazil,105.6,32.8,31.1,56.3,40.2,16.4,41.7,55.0,97.2,2020
Pakistan,105.4,30.6,55.9,60.6,22.0,12.0,38.6,74.3,71.9,2020
Ukraine,104.8,31.8,51.1,52.3,33.2,12.2,38.7,65.1,71.4,2020
China,102.8,60.9,68.2,64.5,40.0,29.1,41.8,80.8,79.2,2020
Russia,102.3,38.9,58.9,57.6,39.2,10.8,45.3,62.8,40.4,2020
Thailand,101.9,35.5,59.5,77.9,49.8,22.3,38.2,75.1,69.4,2020
Hong Kong,99.1,65.3,79.3,66.1,77.2,47.5,41.5,67.7,83.6,2020
Indonesia,97.5,25.1,54.2,60.5,37.3,18.9,43.1,66.6,74.1,2020
Egypt,86.5,22.4,53.1,45.8,29.5,13.0,49.8,85.6,92.0,2020
Philippines,85.4,23.5,57.8,67.5,37.6,24.6,44.6,74.3,60.8,2020
Iran,74.1,22.7,50.7,51.7,39.0,25.1,48.0,77.4,71.0,2020
Switzerland,190.8,111.0,78.7,74.5,131.7,8.4,28.7,20.1,80.0,2021
Denmark,190.0,94.7,73.3,80.0,91.7,6.7,28.7,20.4,81.8,2021
Netherlands,183.3,83.9,72.8,75.8,78.6,7.4,27.8,25.3,87.1,2021
Finland,182.8,89.1,73.0,76.4,77.5,8.6,29.0,11.9,56.6,2021
Austria,182.4,78.2,74.8,78.4,75.5,10.4,25.7,19.2,77.8,2021
Australia,181.5,99.3,57.6,77.7,84.1,7.4,35.0,23.5,92.7,2021
Germany,176.8,93.7,64.6,73.8,70.6,9.1,31.4,27.5,83.0,2021
New Zealand,175.8,81.4,57.7,73.6,79.1,8.1,30.7,23.8,96.4,2021
Norway,173.6,79.4,66.6,75.5,106.1,8.5,26.9,18.1,68.7,2021
Sweden,171.4,90.6,52.8,68.8,79.2,8.6,29.9,18.4,74.9,2021
Slovenia,168.2,56.1,78.2,65.3,59.4,10.9,26.8,22.7,77.6,2021
United States,167.0,102.6,52.3,69.0,71.9,4.0,32.9,38.9,77.3,2021
Spain,164.5,62.7,66.9,78.8,59.1,9.6,29.4,39.6,93.2,2021
Japan,162.3,76.5,78.0,80.7,87.8,13.0,39.9,39.4,85.3,2021
Portugal,161.9,45.0,70.1,71.9,52.9,12.7,29.6,29.6,97.7,2021
Lithuania,160.0,54.6,66.2,71.0,47.7,11.0,25.7,27.0,69.9,2021
Canada,160.0,82.8,58.8,71.8,70.1,7.5,33.7,28.1,56.7,2021
United Kingdom,159.0,82.6,54.7,74.9,71.0,9.6,34.4,40.2,88.0,2021
Czech Republic,156.3,56.4,74.7,75.4,49.2,15.5,29.7,36.3,77.1,2021
Croatia,156.1,43.1,75.1,64.2,56.4,14.2,28.1,30.6,89.7,2021
United Arab Emirates,156.0,85.7,84.6,68.0,61.7,4.9,36.3,50.4,45.2,2021
Belgium,150.9,76.5,55.8,75.2,78.5,6.9,36.2,50.3,86.0,2021
Ireland,150.9,73.8,55.0,52.8,83.1,7.4,37.7,33.6,89.1,2021
France,150.7,74.1,50.8,81.0,80.6,13.5,34.5,41.8,89.9,2021
Saudi Arabia,147.4,88.2,74.1,60.7,49.9,2.6,28.4,64.1,46.0,2021
Israel,144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8,2021
Singapore,143.8,83.6,67.0,70.9,85.6,19.4,41.2,33.2,57.5,2021
Italy,138.6,58.7,55.6,66.8,73.1,9.5,34.2,53.9,91.5,2021
Hungary,134.0,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5,2021
Poland,132.6,47.1,70.7,58.3,42.0,14.0,31.3,54.3,75.9,2021
South Africa,132.2,72.9,22.9,63.9,41.7,4.0,39.3,57.0,95.3,2021
Romania,131.7,45.2,71.7,56.1,38.5,10.7,34.1,58.4,77.7,2021
South Korea,130.0,76.6,73.1,82.3,81.2,23.6,39.9,61.8,68.4,2021
Greece,129.9,38.9,55.9,57.0,61.0,10.1,33.9,51.9,94.2,2021
Bulgaria,126.3,40.3,61.9,56.1,40.9,9.0,29.4,64.5,82.8,2021
Turkey,126.0,35.3,60.5,70.7,31.5,8.2,44.6,66.2,93.3,2021
Bosnia And Herzegovina,125.7,42.6,57.0,53.5,38.6,10.7,25.9,60.7,80.5,2021
Mexico,120.3,35.5,45.0,72.5,35.1,10.5,39.0,61.2,86.6,2021
Malaysia,116.9,56.1,42.1,69.6,39.5,9.9,37.0,62.6,59.1,2021
Serbia,116.2,35.8,61.7,51.6,39.2,17.1,31.1,61.2,83.2,2021
Argentina,110.5,34.6,36.7,68.6,37.9,22.7,43.2,50.7,98.3,2021
Ukraine,107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8,2021
Pakistan,105.1,27.3,56.1,60.5,21.6,12.6,37.8,73.4,73.6,2021
Brazil,104.7,28.7,32.2,57.3,31.8,16.1,41.7,54.5,92.4,2021
India,104.5,47.1,55.3,66.2,25.2,11.3,46.7,79.6,65.3,2021
China,103.1,57.5,69.8,66.4,42.5,29.0,40.9,81.5,80.2,2021
Russia,101.7,34.6,59.9,58.4,33.2,11.1,44.6,62.3,38.5,2021
Colombia,101.3,26.1,44.2,66.7,31.0,18.7,47.3,62.9,88.3,2021
Thailand,100.3,31.4,60.6,78.1,49.3,22.2,39.2,75.4,69.4,2021
Chile,99.9,33.3,47.9,63.7,49.3,17.6,35.6,79.0,90.2,2021
Hong Kong,99.3,62.4,78.3,66.3,79.9,45.2,42.3,67.3,83.6,2021
Indonesia,90.1,20.9,53.8,60.5,37.4,22.0,43.4,67.1,68.5,2021
Egypt,86.3,20.0,53.2,46.2,30.1,13.6,49.1,84.3,92.0,2021
Philippines,78.4,19.7,57.8,67.1,40.7,30.1,44.0,74.1,61.0,2021
Iran,64.7,19.0,50.8,52.2,41.3,34.2,47.4,76.1,71.0,2021
